epoch,test_loss,test_acc,train_loss,train_acc,time_elapsed
0,0.0011851426094770432,91.12,nan,nan,nan
1,0.002310681365430355,80.53,0.0009206611939403407,68.75,7.436097621917725
2,0.0029692318111658096,76.24,0.00033198704804910723,87.5,7.480058908462524
3,0.002497444385290146,79.05,0.0006348383243736403,87.5,7.4383766651153564
4,0.0022431333780288695,81.98,0.0002854766557588602,87.5,7.420022010803223
5,0.0034210444808006287,76.46,0.0007409351256192492,75.0,7.558706045150757
6,0.002478208518028259,80.17,0.00030004425579324706,93.75,7.5875632762908936
7,0.002110894724726677,82.59,0.00013124461635909116,100.0,7.595678329467773
8,0.0027337993860244753,78.27,0.00037839097897414967,87.5,7.581605911254883
9,0.0022245369136333465,82.0,0.0012058005918322316,75.0,7.368603944778442
10,0.0021826824992895125,81.98,0.0005472528050317789,81.25,7.3256659507751465
11,0.0023955490589141846,80.78,0.000709267376024095,81.25,7.348512411117554
12,0.0020586770340800284,82.56,0.0006336087689680211,75.0,7.641976356506348
13,0.002477835339307785,79.88,0.0003903451782968038,81.25,7.4397571086883545
14,0.0022828688025474547,81.37,0.0009078951290501353,81.25,7.579837083816528
15,0.0019458329319953919,83.87,4.2321679689695155e-05,100.0,7.429973125457764
16,0.0022762172102928162,81.73,0.0001464866844894331,100.0,7.431844234466553
17,0.0018667831063270569,84.54,0.00027695618322133407,93.75,7.498307704925537
18,0.0020223216235637667,83.37,0.0006326595154564704,75.0,7.834753513336182
19,0.0021663830906152727,81.79,0.00046601807674788453,81.25,7.6540045738220215
20,0.002269117967784405,80.17,0.0006024307378417696,81.25,8.235004425048828
21,0.0023272205650806425,80.75,0.00048526999590646887,87.5,7.707664489746094
22,0.001964991506934166,83.71,0.0004232905023848004,87.5,7.594491481781006
23,0.0021290095627307893,82.62,0.00028932258448637353,93.75,7.558120250701904
24,0.002183964204788208,82.05,0.0013203159012757908,62.5,7.5045130252838135
25,0.0023834710210561753,81.32,0.0004241221472430412,81.25,7.287241458892822
26,0.0019396450668573378,83.47,0.0006042957077245883,81.25,7.429222822189331
27,0.002072294843196869,82.96,0.0006393640852340347,87.5,7.344981908798218
28,0.002337409657239914,81.0,0.0004889742492714806,87.5,7.386474609375
29,0.0018417584151029587,84.26,0.0003624414772633701,87.5,7.360065221786499
30,0.003029703885316849,75.49,0.000703850060777591,81.25,7.315197229385376
31,0.002109158480167389,82.71,0.0005682930159751717,81.25,7.407079696655273
32,0.002006389757990837,83.08,0.0005991596090214332,75.0,7.544173717498779
33,0.0023073367148637772,81.73,0.00016159764336198189,100.0,7.51067590713501
34,0.0022142201721668245,81.95,0.00035232572299440194,87.5,7.41784405708313
35,0.002193576940894127,81.53,0.0006744493456447826,81.25,7.620672702789307
36,0.001997089369595051,83.74,0.0010872327000893596,62.5,7.394481420516968
37,0.0022585139840841295,81.71,0.0006974113871679281,81.25,7.534420967102051
38,0.0019365117281675338,84.26,0.0009418964538427875,81.25,7.430569648742676
39,0.0023455576315522192,80.56,0.0006672032653828107,75.0,7.449454307556152
40,0.0018850520133972168,84.75,0.00017445700247879222,100.0,7.453832626342773
41,0.0031488075375556944,75.98,0.0004326236217528048,93.75,7.433286190032959
42,0.0022343158721923827,81.73,0.0004917516199219258,81.25,7.452550888061523
43,0.0021292839124798773,82.44,0.0007687938182860079,75.0,7.482638597488403
44,0.0023397654861211778,80.74,0.00025550314151417567,93.75,7.344725608825684
45,0.0017591570377349854,85.21,0.00043805503784238224,75.0,7.505725860595703
46,0.0018719097808003425,83.54,0.0013375361557201961,56.25,7.414931535720825
47,0.0019838208831846715,82.89,0.0002513970903423436,100.0,7.355792760848999
48,0.002736122116446495,78.96,0.00056720351624062,87.5,7.477937936782837
49,0.002104897606372833,82.98,0.0007234157046393665,75.0,7.4333274364471436
50,0.002366336566209793,81.52,0.0003706030833446766,87.5,7.45199179649353
51,0.0027891168534755705,77.18,0.00019849484305247626,100.0,7.330573081970215
52,0.002251728767156601,80.89,0.0009773081678258794,68.75,7.383242845535278
53,0.0018176271319389344,84.16,0.00028389234981878337,93.75,7.430020332336426
54,0.0021637514114379885,82.21,0.0001855770035472977,100.0,7.647689580917358
55,0.0030151877522468567,75.78,0.0006457624380545848,87.5,7.345427989959717
56,0.0024513300269842146,80.55,0.000529877517534339,87.5,7.437310457229614
57,0.002125628563761711,82.55,0.00030967391208004767,100.0,7.66310715675354
58,0.0022438514411449433,81.77,0.0004254473978296265,87.5,7.356982469558716
59,0.002135105633735657,82.39,0.0003623155986561495,81.25,8.030951499938965
60,0.0017088705018162727,85.17,0.0003243399702984354,93.75,7.536908864974976
61,0.0019921449929475783,83.43,0.0005757215687685915,81.25,7.513082981109619
62,0.0019195531561970712,83.54,0.0003639097561311844,87.5,7.495898962020874
63,0.0021799230694770815,82.03,0.00037088712005664017,87.5,7.602991342544556
64,0.0032912199437618254,76.03,0.00034989557607704416,93.75,7.653023958206177
65,0.0018967706114053726,83.91,0.0007529766358377988,87.5,7.382296800613403
66,0.001980919098854065,84.18,0.0003581599277608535,93.75,7.984087228775024
67,0.002583375972509384,78.64,0.0006530901507648361,81.25,8.418655633926392
68,0.0020470235735177995,82.26,0.00048395541622815535,87.5,8.148376703262329
69,0.002349732691049576,81.22,0.0004926541882097873,75.0,7.446349859237671
70,0.002020083001255989,83.62,0.0005109431341176143,81.25,7.624877691268921
71,0.0021312622755765916,83.52,0.0005847922981242694,75.0,7.5404698848724365
72,0.0019509096533060074,83.6,0.0007054410932009177,81.25,7.568572282791138
73,0.002056222754716873,82.53,0.0002939001564174662,87.5,7.675850868225098
74,0.0024541600406169893,79.76,0.0008903420184884229,81.25,7.784801244735718
75,0.0023465859532356263,81.21,0.0014427853057451564,68.75,7.622737169265747
76,0.0022544289141893385,81.26,0.0008075366087276917,93.75,7.2762041091918945
77,0.002216322457790375,81.94,0.0007107986513610996,75.0,7.49552321434021
78,0.0020078570514917376,82.96,0.0005381833714292483,93.75,7.573860168457031
79,0.0017999892711639404,84.98,0.0006947795600842332,75.0,7.552524089813232
80,0.00224036985039711,81.3,0.000726603943368663,68.75,7.421172857284546
81,0.0011326815083622932,90.78,0.00015267091410239335,100.0,7.508922815322876
82,0.00108905076533556,90.75,0.0002517254303788285,93.75,7.487022638320923
83,0.0010955626256763935,90.94,0.00021011214655683474,93.75,7.744089365005493
84,0.0010944668918848037,90.93,0.00018104727920668814,93.75,7.553979396820068
85,0.0010762108393013478,91.03,0.0004055609026223497,93.75,7.609094858169556
86,0.0010832081086933614,91.17,0.0002268872335743721,93.75,7.3789355754852295
87,0.0010773424290120603,91.01,0.0008303297450170492,81.25,7.4979469776153564
88,0.0011018886171281338,90.81,0.0003603300475098593,93.75,7.72265625
89,0.001092858810722828,91.13,0.0004271933489748279,93.75,7.609107971191406
90,0.0011161226220428944,90.74,0.0005163997030624038,87.5,7.401261329650879
91,0.001100169014930725,91.3,0.0001836438732378928,93.75,7.441354990005493
92,0.0010704937867820263,91.13,0.0005856886163087147,81.25,7.4137327671051025
93,0.0010858410749584437,91.23,0.00023800576739299023,87.5,7.6226325035095215
94,0.0011004585947841407,91.04,0.0001347685885398894,93.75,7.368348836898804
95,0.0011144761212170124,90.76,4.508586414634724e-05,100.0,7.454893112182617
96,0.0010837628979235888,91.22,0.00025154150965268657,93.75,7.3430047035217285
97,0.0010754844322800636,91.41,0.0002387988254847124,93.75,7.400857448577881
98,0.001070772877149284,91.26,0.00010112362444553228,100.0,7.496330499649048
