epoch,test_loss,test_acc,train_loss,train_acc,time_elapsed
0,0.022666122102737427,18.52,nan,nan,nan
1,0.002939651656150818,76.32,0.0009408905682966228,75.0,7.536824464797974
2,0.0023205684036016463,80.38,0.0004069476633730447,87.5,7.5099334716796875
3,0.0027834920287132265,76.86,0.0004134370237969986,87.5,7.964775800704956
4,0.002044202226400375,83.19,0.0002799260494349253,93.75,7.669378280639648
5,0.002099880248308182,82.23,0.00048541870263531386,87.5,7.871955394744873
6,0.0025005919933319093,79.61,0.00044906779628275603,87.5,7.822156190872192
7,0.002042142027616501,83.14,0.0004122844513724832,93.75,7.709118843078613
8,0.002629953247308731,77.71,0.0009763335327967963,62.5,7.543455600738525
9,0.002255474530160427,81.33,0.00033177492563681835,93.75,7.534243106842041
10,0.0017527064919471741,85.65,0.00025387277917179,100.0,7.767926931381226
11,0.001945602458715439,84.14,0.0007859741330451673,87.5,7.5646443367004395
12,0.0020935465693473817,82.32,0.0010618779360485808,75.0,7.675503253936768
13,0.0021632797986268996,82.69,0.000929158590638729,68.75,7.718067646026611
14,0.0021526539236307145,82.55,0.0002903655895491695,93.75,7.539198637008667
15,0.002199756097793579,81.99,0.00044179157070491624,87.5,7.521037340164185
16,0.001904709604382515,83.95,0.0004308075093857163,81.25,7.48719334602356
17,0.0023340745627880096,81.26,0.00103013427056315,68.75,7.152715444564819
18,0.0020592396050691606,82.54,0.0006387172376408297,75.0,7.6067283153533936
19,0.0024915736377239227,79.3,0.0005799096334925698,87.5,7.498584032058716
20,0.001986154508590698,82.6,0.00029275865506028277,87.5,7.592144250869751
21,0.0020997884184122085,83.15,0.0008367379303173641,68.75,7.434452056884766
22,0.0020042124897241592,83.57,0.0007892502543261594,68.75,7.559196472167969
23,0.0022259837448596956,82.77,0.00036104682766263137,93.75,7.49519944190979
24,0.001971107326447964,83.38,0.0004336099947809868,87.5,7.356955528259277
25,0.0022619293808937074,81.58,0.00041621046907761516,87.5,7.398622751235962
26,0.0019001918092370032,84.64,0.0004448167731999741,93.75,7.388921022415161
27,0.0020432068556547165,83.17,0.0003887607389703736,87.5,7.250797510147095
28,0.0019912894934415817,83.59,0.0008902104614335862,75.0,7.39558219909668
29,0.0019506005793809892,83.9,0.0005859426601463572,75.0,7.452354669570923
30,0.001834807813167572,84.45,0.0009308402495615928,75.0,7.299891471862793
31,0.0023026648581027983,81.86,0.0004964228481282968,75.0,7.59520959854126
32,0.0019435904115438461,83.44,0.0004366126740375138,87.5,7.417291641235352
33,0.001746275332570076,85.4,0.0005399430804240429,87.5,7.429021120071411
34,0.002142645037174225,82.48,0.0004436978141365149,87.5,7.580338716506958
35,0.0019324675172567368,84.0,0.00038522218956666836,87.5,7.658090353012085
36,0.0023363104701042176,81.72,0.0005562370238096818,75.0,7.71005916595459
37,0.0022741700142621993,81.94,0.0005969026738115589,87.5,7.463661193847656
38,0.0024649925708770753,80.8,0.0004781061959693499,93.75,7.384870529174805
39,0.00266974518597126,78.78,0.000931337285224739,62.5,7.652290105819702
40,0.0021204675137996673,82.07,0.001279722699119002,75.0,7.6076154708862305
41,0.0018617846749722957,84.58,0.0007048026680031701,93.75,7.681598663330078
42,0.002823945042490959,78.3,0.0005601201673297931,81.25,7.920922756195068
43,0.0019503528088331223,84.01,0.0006177931109352795,81.25,7.415869951248169
44,0.0022110198855400083,81.74,0.00042223983713428077,81.25,7.740757703781128
45,0.0018582443445920944,84.78,0.0003344372410298613,93.75,7.498871326446533
46,0.0019508771687746047,84.55,0.00013464874090136165,100.0,7.525068283081055
47,0.001944910353422165,83.84,0.0004120761018884761,81.25,7.3711137771606445
48,0.0019162611663341522,83.59,0.0014499354240534556,81.25,7.525709629058838
49,0.002088525414466858,82.74,0.0006220202006952232,81.25,7.391470432281494
50,0.0020789185345172884,82.68,0.0003713134990628723,87.5,7.424719333648682
51,0.0020711521208286285,82.92,0.0009845440345042198,75.0,7.493405342102051
52,0.002099676275253296,83.23,0.0007184942055236349,81.25,7.5727150440216064
53,0.0018469091236591338,84.74,0.0006033054093265778,87.5,8.26174783706665
54,0.0017843054920434953,84.99,0.00016516475650050756,100.0,7.8494367599487305
55,0.002389842161536217,80.47,0.00044310035760445363,87.5,7.64258074760437
56,0.0018388262078166007,84.37,0.0012340282692628749,75.0,7.545953750610352
57,0.0018178989470005035,84.85,0.00039392968882685125,87.5,7.5395667552948
58,0.002088787627220154,82.42,0.0003481233668754168,93.75,7.380677938461304
59,0.0019381234526634216,83.36,0.00107797896465682,81.25,7.347826242446899
60,0.0018388301089406014,84.33,0.0003364274797537138,93.75,7.5988922119140625
61,0.00191038216650486,84.25,0.0005136860529784961,87.5,7.409225940704346
62,0.0019973178535699844,83.85,0.0014067542217576596,62.5,7.3717851638793945
63,0.0017928432017564773,84.72,0.0004373256812620041,87.5,7.450751304626465
64,0.0021627230048179625,82.94,0.000273151051662767,87.5,7.484630346298218
65,0.002074674344062805,82.82,0.00039853559583044417,93.75,7.585834980010986
66,0.001933865088224411,83.78,0.00013082333461707815,93.75,7.741130590438843
67,0.001985336112976074,84.02,0.001090640530866735,68.75,7.744678258895874
68,0.002062310752272606,82.69,0.0005400902246270338,87.5,7.624829292297363
69,0.002164039236307144,82.17,0.0005572214913185295,87.5,7.46658992767334
70,0.0022171938836574555,81.96,0.00040657421969391805,87.5,7.560824394226074
71,0.0019287209779024123,83.91,0.000691475618220961,75.0,7.480650901794434
72,0.0023798959374427796,81.07,0.000563332072609221,81.25,7.560303449630737
73,0.0021265798896551134,81.87,0.0005932539091695605,81.25,7.635129451751709
74,0.00201694538295269,83.47,0.0010458343016826893,68.75,7.673656225204468
75,0.0019882978692650796,84.07,0.0002212035457801331,100.0,7.53620457649231
76,0.0022985654592514036,80.88,0.0006877155712498423,75.0,7.49380087852478
77,0.002336594569683075,79.85,0.0013247005774846773,56.25,7.573413372039795
78,0.0020681603342294695,83.54,0.000542969959776115,81.25,7.353869676589966
79,0.0018924266368150712,84.47,0.0006151349495743852,87.5,7.276615381240845
80,0.0021856155335903166,82.6,0.001165283839111133,81.25,7.350124835968018
81,0.0010961647011339664,90.66,0.000296184435829787,93.75,7.520885467529297
82,0.0010625397615134716,91.23,9.981973473068393e-05,100.0,7.3676018714904785
83,0.0010730807736516,91.21,0.0004554758672519108,93.75,7.508853435516357
84,0.0010447983756661414,91.36,0.0002817901046684636,93.75,7.613708257675171
85,0.001044652782380581,91.29,0.00022414980260917293,93.75,7.382683277130127
86,0.0010200708955526352,91.58,0.00018368592804959973,93.75,7.676578044891357
87,0.001049885854497552,91.38,0.0007059303543451802,81.25,7.641538381576538
88,0.0010491361178457737,91.5,0.0001241830570618515,93.75,7.805850982666016
89,0.0010747235499322415,91.57,0.0002370637548549096,93.75,7.862505674362183
90,0.0010454228099435567,91.41,0.0004590764603651393,87.5,7.6874167919158936
91,0.001055463715456426,91.4,0.00023006762156401145,87.5,7.837385892868042
92,0.0010715523567050695,91.38,0.0003003648975316216,87.5,7.7091569900512695
93,0.001073204076848924,90.99,3.811253277618257e-05,100.0,7.3984856605529785
94,0.0010892477132380008,91.3,0.0002496662309102695,87.5,7.420085191726685
95,0.0010725064486265183,91.37,0.0003061818382929048,93.75,7.258641242980957
96,0.0010637838080525398,91.53,0.0003740151443749742,93.75,7.452926874160767
97,0.0010796098820865154,91.65,0.00017857482976011,93.75,7.417227029800415
98,0.0010778386406600476,91.62,0.00011570116176324732,93.75,8.407817840576172
99,0.001088255727291107,91.38,0.00011118049816707212,93.75,7.754648447036743
100,0.0011149483278393745,91.5,0.0003562950340988081,93.75,7.5040693283081055
101,0.0010698031805455685,91.5,6.494899768658611e-05,100.0,8.24214482307434
102,0.0011225040886551141,91.14,0.00012389781987270736,93.75,7.47664213180542
103,0.001089437004737556,91.26,0.00033780577999856465,87.5,7.385885953903198
104,0.0011128859992139042,91.24,0.00020345746327544114,93.75,7.533969402313232
105,0.0011112064842134714,91.28,5.422248159680525e-05,100.0,7.386570930480957
106,0.0011490741781890392,91.21,0.00024596624590856643,93.75,7.401223421096802
107,0.0011467586386948825,91.3,6.883659535814125e-05,100.0,7.271679162979126
108,0.0011400224512442946,91.13,0.00026703604956722013,87.5,7.574864625930786
109,0.0010779490064363926,91.58,0.00015637667282767919,100.0,7.26781702041626
110,0.0012288249324075877,90.71,0.0005118324781012962,81.25,7.449085235595703
111,0.0011732748817652463,90.97,0.0001603649629046545,93.75,7.295318603515625
112,0.001155708709359169,91.36,4.31226075762678e-05,100.0,7.1931986808776855
113,0.00119479461889714,90.85,0.00012249926395733337,100.0,7.372387170791626
114,0.0011132536295801402,91.57,0.00016819169301815959,93.75,7.412046432495117
115,0.001168296493589878,91.26,0.0006540527429117266,87.5,7.510399580001831
116,0.0011814149659126996,91.17,0.00010445449129699746,93.75,7.41796612739563
117,0.0012118465673178435,91.33,0.0005213079397635692,81.25,7.366279602050781
118,0.0011800710764713585,91.3,0.00015129737765587809,87.5,7.636995077133179
119,0.001163967003673315,91.27,7.163919984837018e-05,100.0,7.385656356811523
120,0.0011508251547813415,91.33,0.00010365970871027778,100.0,7.47713828086853
121,0.0010671576119959355,91.8,0.00025008338720292387,93.75,7.54973292350769
122,0.0010458755865693093,92.03,0.00010561887794138526,100.0,7.424460411071777
123,0.0010459810942411423,91.94,0.00023519362101469504,87.5,7.285808563232422
124,0.001059749758988619,91.95,8.346506244386249e-05,100.0,7.338453531265259
125,0.0010565901421010495,91.78,2.0007967301037002e-05,100.0,7.431092977523804
126,0.0010703007593750953,91.73,0.00019605354884701313,93.75,7.2310872077941895
127,0.001072160180285573,91.79,2.766406530385737e-05,100.0,7.313109397888184
128,0.0010523513197898864,91.94,9.04083747388152e-05,100.0,7.394867181777954
129,0.001052797183394432,91.95,0.00026051004600646853,87.5,7.436472177505493
130,0.0010653695791959762,91.86,3.9352935350612e-05,100.0,7.38988995552063
131,0.0010618279144167901,91.98,3.4546986927309304e-05,100.0,7.5193397998809814
132,0.0010708485320210456,91.82,0.00048486560659335396,87.5,7.501339673995972
133,0.0010555052895098924,92.13,0.000551595521704925,87.5,7.463041305541992
134,0.001065135785192251,91.89,0.00017853814851292565,93.75,7.595971584320068
135,0.0010872686602175236,91.79,8.672697807821776e-05,100.0,7.457163572311401
136,0.001072184070944786,92.13,8.5877364172655e-05,100.0,7.396272897720337
137,0.0010748460710048675,92.0,1.8257221392810804e-05,100.0,7.458703279495239
138,0.0010753663882613182,91.91,0.00021967354714108245,93.75,7.55281662940979
139,0.0010573254058137537,92.06,0.00020833620253731222,100.0,7.603559732437134
140,0.0010875361509621144,91.93,0.00037792576548388546,87.5,7.455106019973755
141,0.001073695680126548,92.0,0.00012417951279588977,93.75,7.621977806091309
142,0.0010691303213126958,92.06,0.00013896949646418052,93.75,7.38845157623291
143,0.0010987506326287984,91.94,3.1511215945643844e-05,100.0,7.486600399017334
144,0.0010856355806812643,91.79,0.0006021668234139757,81.25,7.50740647315979
145,0.0010785432640463115,91.86,2.7207445705790653e-05,100.0,7.488123178482056
146,0.001086262296512723,91.95,7.454364839226693e-06,100.0,8.45881199836731
147,0.0010832620155066253,92.0,0.00013406476591859022,93.75,7.750576734542847
148,0.0010990874163806438,91.8,4.083846631409872e-05,100.0,7.747345924377441
