epoch,test_loss,test_acc,train_loss,train_acc,time_elapsed
0,0.002564730077981949,82.97,nan,nan,nan
1,0.0027045335948467255,78.17,0.0006869410157508557,81.25,7.468869209289551
2,0.0021426490902900696,82.38,0.00030661345747730616,93.75,7.247659683227539
3,0.0021104826495051384,82.34,0.0009415852444251175,68.75,7.344668388366699
4,0.0021469856023788453,82.83,0.0002358147440968877,93.75,7.27400803565979
5,0.0024864154398441317,81.43,0.0005975498262878574,87.5,7.480521202087402
6,0.002149198067188263,82.62,0.00013910222541340783,93.75,7.305856227874756
7,0.0028525285422801973,78.83,0.0001453958985293308,100.0,7.378268003463745
8,0.002166427767276764,82.34,0.00016842506197102539,93.75,7.54832124710083
9,0.0020096169590950014,83.53,0.000845572832600235,75.0,7.435833215713501
10,0.002079791709780693,82.46,0.00046821411155983613,93.75,7.5389580726623535
11,0.002019398233294487,83.17,0.0005682904625792638,81.25,7.482449054718018
12,0.0021057699799537657,82.69,0.0006835869206187061,68.75,7.335001707077026
13,0.0019440567553043366,83.62,0.00029757352131406974,93.75,7.429335355758667
14,0.0020903814136981965,82.96,0.000763697621157712,87.5,7.465953826904297
15,0.0019612479448318483,83.98,4.9605403486115243e-05,100.0,7.715206146240234
16,0.0018692030608654022,84.43,0.00021005599090205435,100.0,7.474388837814331
17,0.0018749335438013077,84.58,0.0005715762257880872,87.5,7.454766511917114
18,0.0022592566609382627,81.97,0.0005160708485356987,87.5,7.738746643066406
19,0.001754600702226162,85.08,0.0004955623918177222,81.25,7.485577821731567
20,0.002323203359544277,80.66,0.0006946765858194102,81.25,7.4485533237457275
21,0.0026515461564064024,79.06,0.000511374276922182,87.5,7.623027324676514
22,0.0018493791788816451,85.09,0.00031086505221588836,93.75,7.43413233757019
23,0.0020801341354846955,82.89,0.0001423889985474784,100.0,7.554570913314819
24,0.0019593695372343064,83.39,0.0008882040257953927,68.75,7.925455808639526
25,0.0017660851240158082,85.4,0.000663585751257894,75.0,7.667254686355591
26,0.002055148297548294,83.17,0.0005350508500852853,87.5,7.946901321411133
27,0.002198350563645363,82.57,0.0005453773547926217,93.75,7.696059465408325
28,0.002623533642292023,79.7,0.0003793461777060233,93.75,7.415265083312988
29,0.0022268102020025255,81.89,0.0005193527244850803,87.5,7.519011735916138
30,0.00281675728559494,77.83,0.0009449534404003407,75.0,7.5670599937438965
31,0.0018434756338596345,84.27,0.0005056488010889429,87.5,7.4334800243377686
32,0.0020356949985027312,83.41,0.00047747794624484715,93.75,7.430800914764404
33,0.0021766661912202834,82.92,0.00020253010418104088,93.75,7.241290092468262
34,0.002190560099482536,81.64,0.00039008488435574506,87.5,7.442089080810547
35,0.002243144616484642,81.17,0.00039518794135364425,81.25,7.4596569538116455
36,0.001718045437335968,85.6,0.00054672947320182,81.25,7.413517475128174
37,0.002130426901578903,82.45,0.0006162641222214759,81.25,7.351186275482178
38,0.001994374951720238,84.42,0.0006466101654960066,87.5,7.246287107467651
39,0.002393664190173149,80.79,0.0003964215364602521,87.5,7.249997138977051
40,0.0020246459990739822,83.4,0.0002046280238024719,100.0,7.324857950210571
41,0.0023114502370357513,80.94,0.0004969556313341536,93.75,7.366766691207886
42,0.0022122008174657822,82.38,0.00037719915285134865,87.5,7.48755407333374
43,0.002035243594646454,83.7,0.0008497280080605041,75.0,7.33496880531311
44,0.0020936330176889897,82.98,0.00022685457297298304,100.0,7.392960786819458
45,0.00216409772336483,81.63,0.0004471562936177949,87.5,7.319960594177246
46,0.0019145837858319283,83.65,0.001258556800120322,62.5,7.529707193374634
47,0.0021150816082954405,82.88,0.00028433673598272414,87.5,7.650997638702393
48,0.002565550392866135,80.6,0.00022125417542884416,93.75,7.415056228637695
49,0.001985665279626846,83.27,0.0009279530066663347,81.25,7.280284643173218
50,0.002561099061369896,79.25,0.0001852420704139163,100.0,7.284402370452881
51,0.0022496595203876494,81.89,0.00023385994803265233,93.75,7.177133798599243
52,0.002059541663527489,82.94,0.0011274209412772333,62.5,7.338562488555908
53,0.0020559658378362655,83.23,0.0003638833456332116,87.5,7.4656219482421875
54,0.002363719794154167,81.65,0.0004343622557037627,87.5,7.361335039138794
55,0.002828206604719162,77.55,0.0005541522332164637,81.25,7.262697458267212
56,0.001990908995270729,83.72,0.0005500918001774937,93.75,7.352898359298706
57,0.001850234791636467,84.36,0.0004999238588011173,81.25,7.439835548400879
58,0.002144429290294647,82.76,0.0003335395889818821,93.75,7.410957336425781
59,0.002228195521235466,81.4,0.00036004242842154735,93.75,7.393023252487183
60,0.0018493862092494964,84.65,0.00026164907018851746,100.0,7.533067226409912
61,0.0017571303382515908,85.02,0.0007868871054685939,75.0,7.476802825927734
62,0.0019413560837507249,83.74,0.0006104437896357778,81.25,7.635656356811523
63,0.0024074804216623305,80.46,0.0005738041208833075,75.0,7.6387834548950195
64,0.0022596983402967453,82.26,0.00028487872284696535,87.5,7.427240371704102
65,0.0017657309651374817,85.39,0.0008358301409065267,81.25,7.425830125808716
66,0.0018535655409097672,84.98,0.00035769509537445616,87.5,7.436517953872681
67,0.0023395050108432768,81.31,0.0009114243032987161,75.0,7.67340087890625
68,0.0024902599394321444,79.53,0.00038439892899349827,81.25,7.639732599258423
69,0.0023248199462890624,81.78,0.00042592328222816253,81.25,7.450133562088013
70,0.0017050971627235413,85.95,0.00041575097214535374,87.5,7.583003282546997
71,0.001993777310848236,83.73,0.00046959969088854387,81.25,7.407776117324829
