epoch,test_loss,test_acc,train_loss,train_acc,time_elapsed
0,0.021686864185333252,10.63,nan,nan,nan
1,0.0026563097655773163,76.88,0.0007449816102566926,62.5,7.811661243438721
2,0.003348779821395874,73.99,0.000829779964578731,75.0,7.763660907745361
3,0.002837128961086273,77.93,0.0005167383900688738,81.25,7.38155198097229
4,0.0026741678804159162,79.23,0.0008232620975855366,81.25,7.537524938583374
5,0.0025281682893633843,79.57,0.0004204939622098528,93.75,7.690369606018066
6,0.002057803064584732,83.44,0.0002579300871590519,93.75,7.6772987842559814
7,0.0023698103755712507,79.58,0.0010646431494856735,62.5,7.733678340911865
8,0.001850181496143341,84.32,0.0002534336712964051,100.0,7.639394044876099
9,0.0024123136043548584,80.14,0.00030565854457333266,93.75,7.527273654937744
10,0.0025295770913362505,79.48,0.00037635077753335315,93.75,7.832994699478149
11,0.0021988574326038362,82.18,0.0006207653018824585,87.5,7.62882924079895
12,0.0019282544657588006,83.32,0.0003858305456693215,93.75,7.680865526199341
13,0.002746313515305519,79.31,0.0010799956900994186,68.75,7.80103611946106
14,0.00222612119615078,81.42,0.0007670276305254768,75.0,7.32846212387085
15,0.0018766963690519333,84.4,0.0003156788132684615,93.75,7.587941408157349
16,0.0023409950435161592,80.64,0.0006791663444255624,68.75,7.402830123901367
17,0.0019046430215239525,83.85,0.0009481097426255951,62.5,7.527801990509033
18,0.0016622937433421613,85.9,0.0007161256449911601,87.5,7.36549973487854
19,0.00210170117020607,82.78,0.0010604795135195602,68.75,7.532489538192749
20,0.0026383057475090027,79.66,0.00040768220296601203,93.75,7.667978763580322
21,0.0021448679119348527,83.1,0.0004377246970105964,93.75,7.3833167552948
22,0.0019257136285305023,83.71,0.00033224703710707255,87.5,7.563943386077881
23,0.0021148080080747606,82.26,0.0005064088746409892,87.5,7.536708354949951
24,0.0018338273644447328,84.94,0.0003301526808067966,93.75,7.739814043045044
25,0.0019569315373897554,84.18,0.00023019729215470726,93.75,7.438555955886841
26,0.0018658379226922988,84.51,0.0002557918086381215,93.75,7.559748411178589
